OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2219,1992-076A,2025-06-07T15:01:25.135968,14.14024152,.0020483,71.0597,233.0483,261.4688,98.4114,0,U,22219,999,67949,-.10881E-3,-.255E-5,0
SL-16 R/B,1992-076B,2025-06-07T23:29:21.217920,14.16805635,.0012019,71.0013,47.0240,163.6985,213.3513,0,U,22220,999,68292,-.80069E-4,-.208E-5,0
COSMOS 2221,1992-080A,2025-06-07T18:29:17.669760,14.94858193,.0015698,82.5041,182.0576,41.3822,318.8585,0,U,22236,999,73970,.1428E-3,.1584E-4,0
SL-16 R/B,1992-093B,2025-06-07T21:32:55.425408,14.15398720,.0004741,71.0217,221.1013,336.3434,23.7471,0,U,22285,999,67427,-.3083E-4,-.108E-5,0
COSMOS 2228,1992-094A,2025-06-07T21:19:45.972192,14.95690839,.0019625,82.5173,140.0847,142.6572,217.6018,0,U,22286,999,73496,.15135E-3,.1716E-4,0
SL-16 R/B,1993-016B,2025-06-07T21:51:58.580352,14.15260219,.0009756,71.0089,72.2766,8.3749,351.7534,0,U,22566,999,66329,-.62529E-4,-.169E-5,0
COSMOS 2242,1993-024A,2025-06-07T11:51:25.729920,14.95144291,.0017742,82.5184,169.5812,146.0766,214.1594,0,U,22626,999,73925,.14243E-3,.1593E-4,0
SL-16 R/B,1993-059B,2025-06-07T15:04:12.243072,14.17174768,.0019495,70.9902,231.1503,269.4741,90.4149,0,U,22803,999,64056,-.84747E-4,-.219E-5,0
ARIANE 40 R/B,1993-061H,2025-06-07T21:28:59.903328,14.32660672,.0011037,98.5270,227.6127,23.9413,336.2282,0,U,22830,999,65475,.83359E-4,.183E-5,0
COSMOS 2278,1994-023A,2025-06-07T21:33:51.439392,14.14295877,.0007037,71.0539,29.9772,89.5501,270.6428,0,U,23087,999,60595,.18161E-3,.3E-5,0
SL-16 R/B,1994-023B,2025-06-08T01:44:16.741536,14.14967452,.0004339,71.0005,287.5832,320.7468,39.3339,0,U,23088,999,60751,-.11337E-3,-.267E-5,0
SL-16 R/B,1994-074B,2025-06-08T02:03:12.854016,14.79037193,.0007603,97.7392,195.5855,45.0221,8.9965,0,U,23343,999,64686,.58404E-4,.382E-5,0
SL-16 R/B,1994-077B,2025-06-07T21:04:58.068768,14.15521727,.0004474,70.9825,210.6157,244.6628,115.4031,0,U,23405,999,57761,.76683E-4,.102E-5,0
ARIANE 40+ R/B,1995-021B,2025-06-08T03:29:46.046976,14.39528980,.0005757,98.4836,228.7830,238.0911,184.5481,0,U,23561,999,57996,.92693E-4,.245E-5,0
SL-16 R/B,1995-058B,2025-06-07T15:50:00.132000,14.15449342,.0012771,71.0225,37.6566,189.3434,170.7454,0,U,23705,999,52893,-.10848E-3,-.26E-5,0
SL-16 R/B,1996-051B,2025-06-07T16:02:59.670816,14.12417195,.0016074,70.7696,37.2844,189.4782,170.6037,0,U,24298,999,48281,-.6918E-4,-.177E-5,0
ORBVIEW 2 (SEASTAR),1997-037A,2025-06-07T21:44:22.219872,14.35249752,.0003004,98.8250,311.5103,132.1760,227.9680,0,U,24883,999,46905,.10072E-3,.242E-5,0
SL-16 R/B,1998-043G,2025-06-08T02:29:35.035008,14.25971511,.0010971,98.7877,106.1868,90.8613,269.3823,0,U,25400,999,40008,.32361E-4,.32E-6,0
SL-16 R/B,1998-045B,2025-06-08T02:06:36.110016,14.16140089,.0005229,71.0122,39.0332,81.5608,278.6108,0,U,25407,999,38849,-.89738E-4,-.225E-5,0
ISS (ZARYA),1998-067A,2025-06-08T01:41:33.544896,15.50064259,.0001632,51.6400,352.2516,195.4618,310.3088,0,U,25544,999,51374,.15816E-3,.8601E-4,0
CZ-4B R/B,1999-025C,2025-06-08T03:44:17.356416,14.18190747,.0038037,98.6997,204.3235,55.2598,14.1118,0,U,25732,999,34939,.52128E-4,.65E-6,0
